to abandon;отказаться
to maintain;поддерживать
majority;большинство
to map;нанести на карту
mass;масса
massive;огромный
master;мастер
matching;соответствие
means;означает
measurement;измерение
to melt;таять
military;военный
mineral;минерал
minister;министр
minor;второстепенный
minority;меньшинство
mission;миссия
to mistake;ошибаться
mixed;смешанный
to model;моделировать
to modify;изменить
monitor;монитор
moral;моральный
motor;мотор
to mount;монтировать
multiple;множественное
to multiply;умножать
mysterious;таинственный
to narrow;сузить
nerve;нерв
nevertheless;тем не менее
notion;понятие
numerous;многочисленные
to obey;подчиняться
to object;возражать
objective;цель
obligation;обязательство
observation;наблюдение
to observe;наблюдать
to obtain;чтобы получить
offence;оскорбление
to offend;оскорблять
offensive;оскорбительный
official;официальный
opening;открытие
opponent;противник
to oppose;противостоять
opposed;противопоставлен
opposition;оппозиция
organ;орган
origin;происхождение
outcome;результат
outer;внешний
outline;описать
overall;в целом
pace;темп
to package;упаковывать
panel;панель
parliament;парламент
participant;участник
passage;отрывок
pension;пенсия
permit;разрешить
perspective;перспектива
phase;фаза
phenomenon;явление
philosophy;философия
pick;выбрать
to picture;к картинке
plain;просто
to plot;строить сюжет
pointed;указал
popularity;популярность
to pose;позировать
to position;в позицию
to possess;обладать
potential;потенциал
to power;к власти
praise;хвалить
presence;присутствие
to preserve;сохранить
to price;к цене
prime;основной
principle;принцип
print;печатать
priority;приоритет
privacy;конфиденциальность
procedure;процедура
to process;обрабатывать
produce;производить
to progress;прогрессировать
to project;проектировать
proof;доказательство
proposal;предложение
to propose;предложить
prospect;перспектива, проспект
protection;защита
psychologist;психолог
psychology;психология
publication;публикация
purchase;купить
to pursue;преследовать
to range;в диапазоне
rank;ранг
rapid;быстрый
rapidly;быстро
to rate;оценить
raw;сырой
reach;достичь
to recall;вспомнить
to recover;восстанавливаться
reduction;сокращение
regard;относиться
regional;региональный
register;регистр
regulation;регулирование
relatively;относительно
relevant;релевантный
relief;облегчение
to rely;полагаться
remark;замечание
representative;представитель
reputation;репутация
requirement;требование
resident;резидент
to resist;сопротивляться
to resolve;решать
to retain;сохранить
to reveal;раскрыть
revolution;революция
rhythm;ритм
to rid;чтобы избавить
root;корень
to rub;тереть
rubber;резина
rural;сельский
rush;спешить
to sample;для образца
satellite;спутник
to satisfy;удовлетворить
saving;экономия
scale;масштаб
to schedule;запланировать
scheme;схема
to screen;для просмотра
to seat;усаживаться
sector;сектор
secure;обеспечить
to seek;искать
selection;выбор
self;сам
senior;старший
to sense;чувствовать
sensitive;чувствительный
to sentence;выносить приговор
sequence;последовательность
session;сессия
to settle;урегулировать
severe;суровый
shade;тень
shallow;поверхностный
to shape;формировать
shelter;укрыть
to shift;смещаться
to ship;для отправки
shock;шок
shooting;стрельба
shot;выстрелил
significant;значительный
significantly;значительно
sincere;искренний
slave;раб
slide;слайд
slight;небольшой
to slip;скользить
slope;наклон
solar;солнечный
somewhat;несколько
specialist;специалист
to speed;к скорости
spiritual;духовный
split;разделить
sponsor;спонсировать
to spot;обнаружить
spread;распространяться
stable;стабильный
to stage;на сцену
stand;стоять
to stare;смотреть
status;статус
steady;устойчивый
steel;сталь
to step;шагнуть
stiff;жёсткий
stock;запас
stretch;растягивать
strike;забастовка
to structure;структурировать
struggle;бороться
to stuff;набивать
to submit;представить
sum;сумма
surgery;хирургия
to surround;окружать
surrounding;окружающий
to survey;обследовать
suspect;подозревать
to swear;клясться
to sweep;подметать
sympathy;сочувствие
tale;сказка
tank;танк
to target;нацеливаться
tear;рвать
to term;к сроку
therapy;терапия
threat;угроза
to threaten;угрожать
thus;таким образом
to time;ко времени
to title;к названию
tone;тон
tough;жесткий
to track;отслеживать
transfer;переводить
to transform;преобразовать
transition;переход
trial;испытание
to trip;споткнуться
tropical;тропический
to trouble;доставлять неприятности
truly;действительно
trust;доверять
ultimately;в конечном итоге
unconscious;бессознательный
unique;уникальный
upwards;вверх
urban;городской
to urge;призывать
to value;ценить
to vary;варьироваться
vast;огромный
venue;место проведения
victory;победа
violence;насилие
virtual;виртуальный
vision;видение
visual;визуальный
vital;жизненно важный
vitamin;витамин
weakness;слабость
wealth;богатство
wealthy;богатый
whereas;тогда как
whisper;шепот
whom;кого
widely;широко
wire;провод
witness;свидетель
wound;ранить
to wrap;обернуть
zone;зона
